time,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,dewpoint_temperature_2m,temperature_2m,soil_temperature_level_1,snow_cover,volumetric_soil_water_layer_1,forecast_albedo,surface_latent_heat_flux_sum,surface_sensible_heat_flux_sum,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,evaporation_from_the_top_of_canopy_sum,surface_pressure,total_precipitation_sum,temperature_2m_min,temperature_2m_max,u_component_of_wind_10m,v_component_of_wind_10m,R_Landsat8,R_MODIS,NIR_Landsat8,NIR_MODIS
1996-01-15,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-16,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-17,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-18,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-19,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-20,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-21,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-22,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-23,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-24,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-25,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-26,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-27,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-28,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-29,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-30,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-31,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-02,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-03,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-04,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-05,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-06,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-07,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-08,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-09,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-10,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-11,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-12,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-13,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-14,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-15,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-16,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-17,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-18,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-19,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-20,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-21,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-22,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-23,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-24,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-25,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-26,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-27,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-28,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-29,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-01,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-02,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-03,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-04,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-05,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-06,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-07,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-08,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-09,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-10,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-11,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-12,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-13,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-14,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-15,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-16,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-17,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-18,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-19,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-20,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-21,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-22,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-23,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-24,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-25,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-26,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-27,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-28,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-29,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-30,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-31,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-01,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-02,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-03,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-04,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-05,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-06,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-07,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-08,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-09,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-10,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-11,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-12,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-13,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-14,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-15,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-16,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-17,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-18,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-19,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-20,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-21,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-22,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-23,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-24,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-25,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-26,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-27,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-28,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-29,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-01,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-02,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-03,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-04,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-05,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-06,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-07,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-08,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-09,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-10,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-11,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-12,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-13,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-14,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-15,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-16,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-17,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-18,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-19,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-20,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-21,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-22,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-23,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-24,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-25,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-26,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-27,0.0102865,,-2.35817,,1.98365,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-28,0.00390337,,14.3117,,2.00801,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-29,-0.003,,-15.6577,,1.65275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
