time,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,NEE_VUT_REF,NEE_VUT_REF_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,RECO_NT_VUT_REF,RECO_DT_VUT_REF,NDVI_Landsat5,NDVI_Landsat7,NDVI_Landsat8,NDVI_MODIS,NDVI_Sentinel2,EVI_Landsat5,EVI_Landsat7,EVI_Landsat8,EVI_MODIS,EVI_Sentinel2,NIRv_Landsat5,NIRv_Landsat7,NIRv_Landsat8,NIRv_MODIS,NIRv_Sentinel2,kNDVI_Landsat5,kNDVI_Landsat7,kNDVI_Landsat8,kNDVI_MODIS,kNDVI_Sentinel2,temperature_2m,soil_temperature_level_1,volumetric_soil_water_layer_1,surface_solar_radiation_downwards_sum,surface_thermal_radiation_downwards_sum,surface_net_radiation_sum,surface_pressure,total_precipitation_sum,VPD,co2,FAPAR_MODIS_PROD,C3_LUE,IWUE,C4_LUE,C4_RATIO,KOPPEN,DEM,YEAR,MONTH,LAT,LON,FAPAR_Landsat5,FAPAR_Landsat7,FAPAR_Landsat8,FAPAR_MODIS,FAPAR_Sentinel2,IGBP,El-Nino-La-Nina,GPPm,RECOm,NEEm,LEm
2000-01-01,1.644792870967742,1.0,-17.636658193548392,1.0,2.165212290322581,0.9946236774193549,0.3793953161290324,0.6429192580645161,2.5497732258064514,3.0487387096774192,,,,,,,,,,,,,,,,,,,,,4.176893633488901,3.917933144120316,0.2744201762826173,29.829301380893757,297.1809797993373,-8.377571526673298,1022.546039538509,0.001487674817278527,1.0962652145366965,,,,,0.052269553490045036,13.165573536134064,15.0,13.48312370239969,2000,1,51.30761,4.51984,,,,,,5,-1,,,,
2000-02-01,2.836705093103448,0.9698275862068966,-36.09225227586207,0.9798850344827585,1.6836570344827588,0.9784482413793103,0.9205336068965518,1.3496137241379311,2.597907241379311,3.5542931034482765,,0.6628926581003662,,0.5626233100442161,,,0.25687005788209893,,0.26005395210341803,,,0.10569807743423307,,0.10714909945348837,,,0.4131796282420549,,0.30638054185201896,,5.8262999808340625,5.505612151498974,0.29289117350058447,64.73335581404721,290.410328332656,7.414383144931656,1017.4252102190181,0.0033108654475517596,1.7587692991833122,,,,,0.09335552027205668,13.165573536134064,15.0,13.48312370239969,2000,2,51.30761,4.51984,,0.19608757235262367,,0.20006744012927252,,5,-1,,0.9868992743207907,,1.397861999132385
2000-03-01,4.576342677419355,0.9973118387096774,-11.623558064516127,1.0,0.9877747612903225,0.9831989354838709,1.7106835483870968,2.0772542903225806,2.7300832258064522,3.37274064516129,,,,0.5570757198687011,,,,,0.24378428898467233,,,,,0.0991186246322085,,,,,0.3007554102047322,,7.077301103540695,7.170736476566252,0.2742140323377475,88.04616069168347,308.58049229481185,36.37193054921891,1018.4037416669845,0.002031983004671054,1.9014025522222826,,,,,0.1228636169869347,13.165573536134064,15.0,13.48312370239969,2000,3,51.30761,4.51984,,,,0.1797303612308404,,5,-1,,0.9299386299995154,,12.13834458522536
2000-04-01,16.15973,0.06805556666666666,36.39540833333334,1.0,0.3473982666666667,0.9770833666666667,3.170582666666667,3.5991903333333326,3.5611126666666664,4.0217410000000005,0.5719828494532828,,,0.609354530239706,,0.24881366494421225,,,0.27896077097542993,,0.10108483051192685,,,0.11791614327214663,,0.3159705496278848,,,0.3560176671438939,,10.016931042149894,10.223953695115227,0.26061784525913,167.88338108617026,309.5936314144531,88.06437349687039,1005.8875017237916,0.002249057762715487,3.2778707817728594,,,,,0.18658762032588058,13.165573536134064,15.0,13.48312370239969,2000,4,51.30761,4.51984,0.1860170811802653,,,0.2237009637192874,,5,-1,,1.6333197310418488,,39.13402733094388
2000-05-01,32.44183903225806,0.16129035483870968,25.879392903225806,1.0,-0.4350410161290323,0.5262096451612903,6.232734193548386,7.189166451612902,5.587763870967741,7.807751612903226,0.5840550110940815,0.4812139326679782,,0.748369487716205,,0.2649031452302396,0.2367425017310737,,0.42274809314115736,,0.10959698987556056,0.09984418344304033,,0.20160062934302578,,0.32847714573794595,0.2612436079368903,,0.5078872936018602,,14.892397455658928,15.414989279668946,0.25905082934244805,206.7872811713309,336.3949867188913,119.0453607930393,1013.2434959551831,0.003228980719832279,4.405757175014611,,,,,0.27490940777298933,13.165573536134064,15.0,13.48312370239969,2000,5,51.30761,4.51984,0.20612893153779951,0.17092812716384212,,0.4034351164264467,,5,-1,,4.635072548140354,,80.86022902484667
2000-06-01,45.05701366666667,0.9840277666666667,49.79749433333333,0.9930556,-1.9498412000000005,0.9770833,7.887700999999998,8.591786666666668,5.768265333333333,6.658534333333334,,,,0.7466276696058026,,,,,0.43857147487862197,,,,,0.21182587590722396,,,,,0.5060550832362415,,16.26908253795818,16.939532835980653,0.21601901900594342,229.05089228956226,339.0108160001246,131.65066213854723,1018.1205747088068,0.0021661878739589664,5.459975805305183,,,,,0.2959257722791593,13.165573536134064,15.0,13.48312370239969,2000,6,51.30761,4.51984,,,,0.4232143435982774,,5,-1,,5.27604000315826,,91.88176874812504
2000-07-01,38.70914516129032,1.0,9.157438387096771,0.9993279677419354,-1.6647090912903224,0.9939516129032258,7.002195483870968,7.349250967741936,5.279733870967742,5.661338387096776,0.6854275231945791,,,0.7118009921115588,,0.32084787378939594,,,0.40904263335888286,,0.14018009231791823,,,0.19371391773537563,,0.4380465044549619,,,0.4673726118253017,,15.473499557529856,16.00562484106458,0.27366096864088973,164.25643457227585,352.74964362788563,96.62409129574266,1011.2875730701459,0.005148302567275153,3.2819929246423687,,,,,0.2839911822274497,13.165573536134064,15.0,13.48312370239969,2000,7,51.30761,4.51984,0.2760598422367449,,,0.38630329169860356,,5,-1,,4.541491201331024,,61.70974148082628
2000-08-01,44.07666451612905,1.0,33.935457096774186,1.0,-1.6407466967741935,0.9852150645161291,7.308816129032259,7.891603548387097,5.495200967741934,6.0074961290322575,0.6477042220802731,0.732210164349295,,0.7594851453186456,,0.33726804842982994,0.33875958279470814,,0.409040199321262,,0.15023430088881884,0.15041897952798283,,0.19242350220917612,,0.3967316274225465,0.49005414820962734,,0.520333383239361,,17.646476044375635,18.237099955635276,0.23652423714042875,193.8805361185027,346.97812697328703,104.65640699890346,1015.979738969542,0.0017787602979639791,4.642733009376978,,,,,0.3152239542194507,13.165573536134064,15.0,13.48312370239969,2000,8,51.30761,4.51984,0.2965850605372874,0.29844947849338516,,0.38630024915157757,,5,-1,,5.023226865964717,,76.57962626251168
2000-09-01,26.031164,0.9986111,4.7370905,0.9986111,0.3508107366666666,0.9902778,4.727545000000001,5.240657000000001,4.871926333333334,5.917915333333332,0.7337060175797283,0.7031493043275566,,0.7458073870138565,,0.32010495030668024,0.2820130868239813,,0.37058238242759084,,0.1399745210429546,0.11914896575394082,,0.1690113301279703,,0.49171864344864175,0.4577166448804073,,0.5051591072049413,,16.24588956602115,16.30635938232108,0.2455563337495163,113.28833104381589,352.5319778775407,53.831360250718745,1011.527871703493,0.0022912888262593273,3.756312333885667,,,,,0.29558601799664064,13.165573536134064,15.0,13.48312370239969,2000,9,51.30761,4.51984,0.2751311878833503,0.22751635852997662,,0.3382279780344885,,5,-1,,3.974941640943825,,36.74097474915407
2000-10-01,17.33205870967742,1.0,-21.47053419354839,1.0,1.335204870967742,1.0,2.5166919258064517,2.9269545161290322,3.8894219354838713,4.430538387096775,,,,0.6369233681809326,,,,,0.26971621006429375,,,,,0.11331795789716635,,,,,0.38613826018960334,,11.669334136251843,11.798028561022454,0.27440455785465234,67.87447367052337,326.5246097881442,15.881877896493128,1009.1764535095789,0.0029404212798662464,2.649118916016256,,,,,0.21894924126455081,13.165573536134064,15.0,13.48312370239969,2000,10,51.30761,4.51984,,,,0.21214526258036717,,5,-1,,1.7097827224736941,,6.8349926430183725
